t_s,d1_m,d2_m,vs_mps,vus_mps,u_N,road_amp_m,road_freq_rads
18.2,-2.59890,-11.73546,-0.09187,0.04480,0.0000,0.0150,25.00
18.3,-2.23707,25.84625,0.16648,0.04701,0.0000,0.0150,25.00
18.4,6.67283,1.11621,-0.12800,-0.10235,0.0000,0.0150,25.00
18.5,-13.84669,-6.23925,0.10054,0.18316,0.0000,0.0150,25.00
18.6,5.70794,32.34922,0.15040,-0.17012,0.0000,0.0150,25.00
18.7,5.74516,32.36853,0.09335,-0.19214,0.0000,0.0150,25.00
18.8,5.74517,32.36853,0.05654,-0.13281,0.0000,0.0150,25.00
18.9,5.74517,32.36853,0.03398,-0.08302,0.0000,0.0150,25.00
19.0,5.74517,32.36853,0.01935,-0.04791,0.0000,0.0150,25.00
19.1,5.74517,32.36853,0.01159,-0.02880,0.0000,0.0150,25.00
19.2,5.74517,32.36853,0.00694,-0.01727,0.0000,0.0150,25.00
19.3,5.74517,32.36853,0.00416,-0.01034,0.0000,0.0150,25.00
19.4,5.74517,32.36853,0.00249,-0.00619,0.0000,0.0150,25.00
19.5,5.74517,32.36853,0.00142,-0.00352,0.0000,0.0150,25.00
19.6,11.70829,11.96744,-0.27001,0.04887,0.0000,0.0150,25.00
19.7,-8.82087,-4.45379,-0.12503,0.27980,0.0000,0.0150,25.00
19.8,13.23408,55.15995,0.08168,-0.01024,0.0000,0.0150,25.00
19.9,2.75015,-8.22579,-0.20158,0.00494,0.0000,0.0150,25.00
20.0,-11.17986,17.74512,0.15107,0.15207,0.0000,0.0150,25.00
20.1,11.27639,10.32165,-0.15249,-0.13637,0.0000,0.0150,25.00
20.2,-7.42352,-5.91618,-0.06578,0.11444,0.0000,0.0150,25.00
20.3,16.37351,24.77962,0.08064,-0.07690,-7.0650,0.0150,25.00
20.5,-10.19167,-3.80649,-0.14174,0.04635,-9.9984,0.0150,25.00
20.6,-5.59221,12.37611,0.04769,-0.03415,0.3276,0.0150,25.00
20.7,2.16175,7.70171,0.03349,-0.03523,0.8578,0.0150,25.00
20.8,1.10500,0.86472,0.04363,0.05220,3.4496,0.0150,25.00
20.9,0.95244,16.12910,0.09837,0.05418,5.7112,0.0150,25.00
21.0,1.72479,-8.85281,0.00908,0.08076,3.6095,0.0150,25.00
21.1,10.62454,33.78169,0.18065,-0.01775,8.1250,0.0150,25.00
21.2,2.17923,-2.42888,-0.15293,-0.02167,-11.6983,0.0150,25.00
21.3,-13.16715,0.70314,0.01834,0.02278,-2.1488,0.0150,25.00
21.4,-3.13539,12.42175,0.08241,-0.00236,3.9516,0.0150,25.00
21.5,2.28523,3.01248,0.02784,0.06743,2.1096,0.0150,25.00
21.6,0.52496,2.50791,0.03803,0.06214,3.2747,0.0150,25.00
21.7,4.92251,1.44173,-0.05167,-0.02360,-5.7374,0.0150,25.00
21.8,-9.81463,1.00804,0.09033,0.11271,6.3008,0.0150,25.00
21.9,15.52005,25.38320,0.00999,-0.09981,-4.8949,0.0150,25.00
22.0,-13.16922,-2.87896,-0.08827,0.10627,-5.2508,0.0150,25.00
22.1,-4.34632,5.60686,0.05187,-0.01910,1.9030,0.0150,25.00
22.2,5.58561,-3.86514,0.00869,-0.01718,-0.9148,0.0150,25.00
22.3,0.40854,8.34619,0.00307,0.01728,-2.1861,0.0150,25.00
22.4,-1.23813,5.66642,0.01850,-0.00737,-1.0631,0.0150,25.00
22.5,-1.66548,11.80208,0.04076,0.04880,1.5711,0.0150,25.00
22.6,-0.35963,4.35985,0.05407,0.04696,4.6115,0.0150,25.00
22.7,4.32981,-4.00066,-0.04820,-0.00384,-4.3093,0.0150,25.00
22.8,-2.27788,3.28183,0.09332,0.05149,6.7969,0.0150,25.00
22.9,10.98590,18.83236,-0.03889,-0.09681,-9.5503,0.0150,25.00
23.0,-14.43447,13.93277,-0.06356,0.06259,-8.1015,0.0150,25.00
23.1,-8.34920,3.72795,0.03682,-0.00681,0.7032,0.0150,25.00
23.2,3.40099,6.00479,0.03408,0.02125,3.2095,0.0150,25.00
23.3,-0.40864,-1.23686,0.03487,0.06411,2.9625,0.0150,25.00
23.4,9.78413,8.28232,0.01629,-0.01418,-3.1506,0.0150,25.00
23.5,-2.39976,8.47666,0.01807,0.07921,2.1967,0.0150,25.00
23.6,6.05804,20.31655,0.03714,-0.05520,0.7372,0.0150,25.00
23.7,-2.88074,-6.42645,-0.09919,0.00336,-6.9075,0.0150,25.00
23.8,-6.36362,3.55263,0.01295,-0.01673,-1.3691,0.0150,25.00
23.9,3.32122,1.49059,0.01430,-0.05883,-0.7732,0.0150,25.00
24.0,-0.09145,1.92621,0.02039,0.02022,0.4628,0.0150,25.00
24.1,-0.29571,15.13358,0.03393,-0.01637,-1.0175,0.0150,25.00
24.2,-1.69980,-10.00822,-0.00792,0.06712,0.1198,0.0150,25.00
24.3,-0.07268,2.30757,0.07975,0.05463,7.0135,0.0150,25.00
24.4,5.57899,-3.70624,-0.09623,-0.04577,-10.0846,0.0150,25.00
24.5,-11.59695,1.82253,0.03506,0.04251,0.7390,0.0150,25.00
24.6,2.27444,13.13868,0.07544,-0.05184,3.1242,0.0150,25.00
24.7,-2.18824,-7.35888,-0.05030,0.04076,-0.9886,0.0150,25.00
24.8,-3.26503,7.17738,-0.01199,-0.01575,-3.5055,0.0150,25.00
25.0,-1.32437,-3.47699,-0.05696,-0.02476,-4.4359,0.0150,25.00
25.1,-4.05609,0.81924,0.04089,0.03123,2.2054,0.0150,25.00
25.2,8.28698,19.31313,0.02826,-0.05884,-1.8041,0.0150,25.00
25.3,-6.99379,-5.72360,-0.06477,0.06898,-1.5071,0.0150,25.00
25.4,-4.53575,5.72590,0.04383,0.00941,2.4985,0.0150,25.00
25.5,3.14127,0.71112,-0.02730,-0.02926,-2.1534,0.0150,25.00
25.6,-2.60002,1.05581,0.03390,0.04321,3.4513,0.0150,25.00
25.7,7.20007,14.35963,0.01082,-0.04687,-2.8694,0.0150,25.00
25.8,-7.48662,-4.95818,-0.02017,0.09352,1.6471,0.0150,25.00
25.9,2.09124,6.79529,0.09818,0.00391,6.9286,0.0150,25.00
26.0,0.31694,-4.39647,-0.09924,-0.02875,-7.4267,0.0150,25.00
