Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0017852,0.28483,-0.0022167,0,0,0,2.8852,0.031256,3.9095E-10,-3.2805E-07,0.042918,-1.1608E-08,0.031032,0,0,0,0,0,0,package://Active_Suspension_urdf/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Active_Suspension_urdf/meshes/base_link.STL,,PART_BASE-1,Coordinate base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-5.0869E-09,-0.021265,5.7292E-05,0,0,0,0.44228,0.0019585,-4.1039E-11,6.8978E-12,0.0038319,-3.864E-11,0.0019942,0,0,0,0,0,0,package://Active_Suspension_urdf/meshes/link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Active_Suspension_urdf/meshes/link_1.STL,,PART_1-1,Coordinate link_1,Axis_joint_1,joint_1,prismatic,0,0.30472,0,0,0,0,base_link,0,1,0,100,0.3,-0.018,-0.018,,,,,,,,
link_2,1.8428E-06,-0.0029708,-6.5349E-05,0,0,0,0.38813,0.0018924,-3.6425E-12,-4.9358E-11,0.0037817,2.0856E-11,0.0018926,0,0,0,0,0,0,package://Active_Suspension_urdf/meshes/link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Active_Suspension_urdf/meshes/link_2.STL,,PART_2-1,Coordinate link_2,Axis_joint_2,joint_2,prismatic,0,0.12957,0,0,0,0,link_1,0,1,0,0,0.3,-0.0175,0.0175,,,,,,,,
link_3,0.0046856,-0.015674,2.5684E-05,0,0,0,0.60901,0.0019559,1.7858E-05,-1.4489E-05,0.0038406,-1.9353E-08,0.0019914,0,0,0,0,0,0,package://Active_Suspension_urdf/meshes/link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Active_Suspension_urdf/meshes/link_3.STL,,PART_3-1,Coordinate link_3,Axis_joint_3,joint_3,prismatic,0,0.20176,0,0,0,0,link_2,0,1,0,38.3,0.3,-0.019,0.019,,,,,,,,
