Time,XPosition,XVelocity,Angle,AngularVelocity
0,0,1.6128962237606404e-10,3.12413936106985,0.0005582854251648257
0.001,1.6128962237606405e-13,-0.008418990508207252,3.12413936106985,0.001116567019358836
0.002,-0.00000841899034691763,-0.01755494157601359,3.124139919355275,0.029123802548015124
0.003,-0.000025973931922931216,-0.026736762307613904,3.1241410359222943,0.05946840509674553
0.004,-0.00005271069423054512,-0.03590591720331147,3.1241701597248426,0.08996234458048974
0.005,-0.00008861661143385658,-0.045057220116462945,3.1242296281299393,0.12041389200920036
0.006,-0.00013367383155031952,-0.054190132796174684,3.12431959047452,0.15080518402118442
0.007,-0.0001878639643464942,-0.06330452280231039,3.124440004366529,0.18113350622212582
0.008,-0.0002511684871488046,-0.07240029394774403,3.12459080955055,0.21139746831339018
0.009000000000000001,-0.00032356878109654865,-0.08147735410309132,3.124771943056772,0.24159579967211636
0.01,-0.00040504613519963995,-0.09053561239618824,3.1249833405250853,0.27172724438723994
0.011,-0.0004955817475958282,-0.09957497897311027,3.1252249363247575,0.3017905520936431
0.012,-0.0005951567265689384,-0.10859536498236945,3.125496663569145,0.33178447715576104
0.013000000000000001,-0.0007037520915513079,-0.1175966825784808,3.1257984541212385,0.36170777858000663
0.014,-0.0008213487741297887,-0.12657884492713206,3.1261302385983942,0.3915592199918342
0.015,-0.0009479276190569207,-0.13554176621040845,3.1264919463769743,0.4213375696195747
0.016,-0.0010834693852673292,-0.14448536163193806,3.126883505596966,0.45104160028002427
0.017,-0.0012279547468992673,-0.15340954742194673,3.1273048431665855,0.480670089365376
0.018000000000000002,-0.001381364294321214,-0.1623142408422219,3.1277558847668656,0.5102218188314854
0.019,-0.0015436785351634359,-0.17119936019098603,3.128236554856231,0.539695575187494
0.02,-0.001714877895354422,-0.18006482480767985,3.1287467766750625,0.5690901494868353
0.021,-0.0018949427201621018,-0.18891055507765606,3.12928647225025,0.5984043373196506
0.022,-0.0020838532752397577,-0.19773647243678386,3.129855562399737,0.6276369388066351
