Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.52134,0.080315,-0.025851,0,0,0,3.6147,0.00044888,-5.5123E-08,1.9241E-15,0.24504,9.1996E-19,0.24517,0,0,0,0,0,0,package://invurdf2/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://invurdf2/meshes/base_link.STL,,base-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
cart,-0.063158,-0.056692,0.040187,0,0,0,0.59648,0.00028339,3.5327E-07,-1.8517E-07,0.00045456,-5.8837E-07,0.00063141,0,0,0,0,0,0,package://invurdf2/meshes/cart.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://invurdf2/meshes/cart.STL,,CartAssem-1,Origin_joint1,Axis1,joint1,prismatic,-0.468,0.0206,-0.119,0,0,-1.5708,base_link,0,-1,0,15,0.1,-0.428,0.428,,,,,,,,
pendulum,0.057311,-0.034252,0.15799,0,0,0,0.30048,0.0036729,-5.414E-05,-0.001318,0.0040827,-0.0001449,0.00056101,0,0,0,0,0,0,package://invurdf2/meshes/pendulum.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://invurdf2/meshes/pendulum.STL,,PendulumAssembly-1,Origin_joint2,Axis2,joint2,revolute,0,-0.0521986276370053,-0.0279999999999978,-3.10053376189029,0.351134041340753,-1.5707963267949,cart,0,-0.99915720211753,0.0410473562689422,40,3,0,6.284,,,,,,,,
